ObjectId,stopdate,stoptime,streetnbr,streetdir,street,Min_,sex,race,ethnic,Year_of_birth,enfaction,rpmainid
1,2018/01/19 00:00:00,30,,,ARAPAHOE AVE/CANYON BLVD,15,M,W,N,1959,N,3174
2,2018/01/13 00:00:00,2235,2398,,CANYON BLVD/FOLSOM ST,10,M,W,N,1989,Y,3175
3,2018/01/19 00:00:00,149,1849,,11TH ST/CANYON | WALNUT ALLEY,5,M,W,N,1996,Y,3176
4,2018/01/19 00:00:00,149,1849,,11TH ST/CANYON | WALNUT ALLEY,5,M,W,N,1996,Y,3177
5,2018/01/11 00:00:00,2300,2299,,30TH ST/PEARL ST,5,F,W,N,1998,Y,3178
6,2018/01/12 00:00:00,10,699,,30TH ST/BASELINE RD,5,F,W,N,1993,N,3179
7,2018/01/12 00:00:00,30,1199,,UNIVERSITY AVE/BROADWAY,5,F,W,N,1992,Y,3180
8,2018/01/18 00:00:00,50,2300,,CANYON BLVD,5,M,W,N,1999,Y,3181
9,2018/01/18 00:00:00,200,3679,,BROADWAY/LINDEN AVE,5,M,B,N,1993,Y,3182
10,2018/01/18 00:00:00,125,1699,,28TH ST/CANYON BLVD,10,M,W,N,1998,N,3183
11,2018/01/18 00:00:00,220,1050,,16TH ST/BROADWAY,5,F,W,N,1996,Y,3184
12,2018/01/18 00:00:00,225,,,ARAPAHOE AVE/CANYON BLVD,5,M,W,N,1993,N,3185
13,2018/01/18 00:00:00,2327,,,HWY 36 WB ON RP @ T MESA/TABLE MESA DR,5,M,B,N,1995,N,3186
14,2018/01/19 00:00:00,219,1899,,15TH ST/WALNUT ST,10,M,W,N,1989,N,3187
15,2018/01/18 00:00:00,2341,1207,,BROADWAY/PENNSYLVANIA AVE,9,F,W,N,1999,Y,3188
16,2018/01/18 00:00:00,2255,1199,,30TH ST/COLORADO AVE,5,M,W,N,1988,Y,3189
17,2018/01/19 00:00:00,1230,4141,,ARAPAHOE AVE,10,F,W,N,1990,N,3190
18,2018/01/19 00:00:00,1510,399,,BASELINE RD/,10,,,,0,,3191
19,2018/01/14 00:00:00,258,,,55TH ST/ARAPAHOE AVE,5,M,W,N,1967,N,3192
20,2018/01/19 00:00:00,1835,,,30TH ST/PEARL PKWY,10,M,W,N,1976,N,3193
21,2018/01/19 00:00:00,1630,20,,CANYON BLVD,10,M,W,N,1986,N,3194
22,2018/01/19 00:00:00,1729,1480,,CANYON BLVD,20,M,W,N,1986,N,3195
23,2018/01/19 00:00:00,2120,15TH,,CANYON,5,M,W,N,1990,N,3196
24,2018/01/19 00:00:00,2259,,,,10,M,W,H,2000,N,3197
25,2018/01/20 00:00:00,10,1899,,BROADWAY/WALNUT ST,10,F,B,N,1996,N,3198
26,2018/01/20 00:00:00,150,975,,28TH FRONTAGE RD/E EUCLID AVE,10,M,W,N,1995,Y,3199
27,2018/01/20 00:00:00,150,975,,28TH FRONTAGE RD/E EUCLID AVE,10,M,W,N,1998,Y,3200
28,2018/01/20 00:00:00,220,1575,,30TH ST,15,F,W,N,1997,N,3201
29,2018/01/20 00:00:00,220,1575,,30TH ST,15,F,W,N,1996,N,3202
30,2018/01/14 00:00:00,815,1090,,11TH ST,20,M,W,N,1991,N,3203
31,2018/01/20 00:00:00,1125,,,US HIGHWAY 36 ON RAMP/TABLE MESA DR,15,M,W,N,1995,Y,3204
32,2018/01/20 00:00:00,1145,,,US HIGHWAY 36 ON RAMP/TABLE MESA DR,15,M,A,N,1988,Y,3205
33,2018/01/20 00:00:00,1210,4800,,BASELINE RD,15,M,W,H,1996,Y,3206
34,2018/01/18 00:00:00,1545,30,,ARAPAHOE,10,M,W,N,1996,Y,3207
35,2018/01/20 00:00:00,1545,4985,,MOORHEAD AVE,5,M,W,H,1952,Y,3208
36,2018/01/20 00:00:00,156,4900,,PEARL EAST CIR,15,M,W,N,1972,N,3209
37,2018/01/20 00:00:00,1736,598,,BROADWAY/BASELINE RD,5,M,W,N,2001,N,3210
38,2018/01/20 00:00:00,1923,1899,,ELDER AVE/19TH ST,5,M,W,N,1958,Y,3211
39,2018/01/20 00:00:00,1940,,,BROADWAY/TABLE MESA,5,M,W,N,1986,N,3212
40,2018/01/20 00:00:00,2102,,,14TH ST/CANYON BLVD,15,M,W,N,1951,N,3213
41,2018/01/20 00:00:00,2315,,,FOOTHILLS PKWY/VALMONT RD,15,M,W,N,1995,N,3214
42,2018/01/21 00:00:00,8,165,,CHEROKEE WAY,15,M,W,N,1989,Y,3215
43,2018/01/21 00:00:00,151,1100,,WALNUT ST,15,M,W,N,1962,N,3216
44,2018/01/20 00:00:00,218,4520,,BROADWAY,10,M,B,N,1966,N,3217
45,2018/01/20 00:00:00,218,4520,,BROADWAY,10,M,W,N,1978,N,3218
46,2018/01/20 00:00:00,235,800,,CHERRY AVE,12,M,W,N,1986,N,3219
47,2018/01/20 00:00:00,235,800,,CHERRY AVE,12,F,W,N,1961,N,3220
48,2018/01/20 00:00:00,322,3000,,IRIS AVE,5,F,W,N,1988,N,3221
49,2018/01/21 00:00:00,27,3500,,DIAGONAL HWY,7,M,W,N,1958,Y,3222
50,2018/01/09 00:00:00,820,900,,ARAPAHOE AVE,20,F,W,N,1959,N,3223
51,2018/01/12 00:00:00,955,,,FOOTHILLS PKWY/COLORADO AVE,10,F,W,N,1985,Y,3068
52,2018/01/12 00:00:00,1015,1560,,30TH ST/MARINE ST,7,M,W,N,1991,Y,3069
53,2018/01/12 00:00:00,837,698,,FOOTHILLS PKWY/BASELINE RD,10,F,W,N,1980,N,3070
54,2018/01/12 00:00:00,1826,1898,,28TH ST/WALNUT ST,5,M,W,N,1959,,3071
55,2018/01/12 00:00:00,1900,33,,ARAPAHOE,25,M,B,N,1981,N,3072
56,2018/01/12 00:00:00,1923,1899,,28TH ST/WALNUT ST,5,F,W,N,1964,Y,3073
57,2018/01/12 00:00:00,2306,1505,,30TH ST,20,M,W,N,1999,Y,3074
58,2018/01/12 00:00:00,2243,3050,,E EUCLID AVE,20,M,W,N,1970,N,3075
59,2018/01/12 00:00:00,30,1700,,13TH ST/ARAPAHOE AVE,5,M,W,N,1975,Y,3076
60,2018/01/12 00:00:00,144,4399,,13TH ST/VIOLET AVE,5,F,W,H,1987,Y,3077
61,2018/01/12 00:00:00,245,2599,,BROADWAY/NORTH ST,10,M,W,N,1990,Y,3078
